date,weekday,holiday,holiday_name,rest1,rest2,rest3,rest4,total
11-11-2016,Friday,1,Veterans' Day,75,45,37,50,207
11-12-2016,Saturday,0,na,58,57,44,49,208
11/13/2016,Sunday,0,na,29,22,48,50,149
11/14/2016,Monday,0,na,9,25,16,27,77
11/15/2016,Tuesday,0,na,19,12,22,9,62
11/16/2016,Wednesday,0,na,27,22,26,45,120
11/17/2016,Thursday,0,na,35,16,18,32,101
11/18/2016,Friday,0,na,44,39,35,32,150
11/19/2016,Saturday,0,na,80,49,51,26,206
11/20/2016,Sunday,0,na,32,18,34,14,98
11/21/2016,Monday,0,na,23,15,19,9,66
11/22/2016,Tuesday,0,na,59,56,18,15,148
11/23/2016,Wednesday,0,na,5,42,20,38,105
11/24/2016,Thursday,1,Thanksgiving,17,21,20,7,65
11/25/2016,Friday,1,Black Friday,72,27,34,102,235
11/26/2016,Saturday,0,na,69,48,60,55,232
11/27/2016,Sunday,0,na,49,13,43,50,155
11/28/2016,Monday,0,na,20,17,14,20,71
11/29/2016,Tuesday,0,na,32,9,26,30,97
11/30/2016,Wednesday,0,na,8,55,13,26,102
12-01-2016,Thursday,0,na,23,21,18,14,76
12-02-2016,Friday,0,na,34,42,19,15,110
12-03-2016,Saturday,0,na,55,52,60,63,230
12-04-2016,Sunday,0,na,54,26,58,49,187
12-05-2016,Monday,0,na,29,10,20,21,80
12-06-2016,Tuesday,0,na,13,21,24,15,73
12-07-2016,Wednesday,0,na,10,28,18,14,70
12-08-2016,Thursday,0,na,33,21,15,24,93
12-09-2016,Friday,0,na,40,41,29,30,140
12-10-2016,Saturday,0,na,69,54,78,37,238
12-11-2016,Sunday,0,na,31,12,45,96,184
12-12-2016,Monday,0,na,16,7,24,19,66
12/13/2016,Tuesday,0,na,35,42,15,11,103
12/14/2016,Wednesday,0,na,23,65,19,13,120
12/15/2016,Thursday,0,na,25,51,25,24,125
12/16/2016,Friday,0,na,50,57,23,27,157
12/17/2016,Saturday,0,na,86,52,65,43,246
12/18/2016,Sunday,0,na,39,37,32,47,155
12/19/2016,Monday,0,na,29,23,8,23,83
12/20/2016,Tuesday,0,na,11,41,15,24,91
12/21/2016,Wednesday,0,na,27,44,24,23,118
12/22/2016,Thursday,0,na,57,66,33,25,181
12/23/2016,Friday,0,na,51,59,56,30,196
12/24/2016,Saturday,1,Christmas Eve,64,66,42,94,266
12/25/2016,Sunday,1,Christmas Day,64,41,70,59,234
12/26/2016,Monday,0,na,35,18,20,27,100
12/27/2016,Tuesday,0,na,38,56,19,11,124
12/28/2016,Wednesday,0,na,31,53,36,24,144
12/29/2016,Thursday,0,na,33,19,27,43,122
12/30/2016,Friday,0,na,64,49,24,59,196
12/31/2016,Saturday,1,New Year's Eve,88,54,57,117,316
01-01-2017,Sunday,1,New Year's Day,48,43,47,118,256
01-02-2017,Monday,0,na,7,5,43,75,130
01-03-2017,Tuesday,0,na,39,34,16,55,144
01-04-2017,Wednesday,0,na,23,24,23,29,99
01-05-2017,Thursday,0,na,14,22,28,11,75
01-06-2017,Friday,0,na,16,33,21,21,91
01-07-2017,Saturday,0,na,85,58,39,51,233
01-08-2017,Sunday,0,na,27,17,43,85,172
01-09-2017,Monday,0,na,40,11,10,30,91
01-10-2017,Tuesday,0,na,12,25,18,14,69
01-11-2017,Wednesday,0,na,19,17,12,14,62
01-12-2017,Thursday,0,na,21,27,16,15,79
1/13/2017,Friday,0,na,30,47,16,9,102
1/14/2017,Saturday,0,na,84,48,55,39,226
1/15/2017,Sunday,0,na,33,35,51,39,158
1/16/2017,Monday,1,Martin Luther King Day,56,26,29,26,137
1/17/2017,Tuesday,0,na,38,27,19,19,103
1/18/2017,Wednesday,0,na,37,26,25,12,100
1/19/2017,Thursday,0,na,23,19,19,9,70
1/20/2017,Friday,0,na,40,42,22,21,125
1/21/2017,Saturday,0,na,63,25,57,37,182
1/22/2017,Sunday,0,na,38,15,49,44,146
1/23/2017,Monday,0,na,18,4,24,16,62
1/24/2017,Tuesday,0,na,17,13,35,17,82
1/25/2017,Wednesday,0,na,35,38,22,20,115
1/26/2017,Thursday,0,na,33,12,19,31,95
1/27/2017,Friday,0,na,27,44,25,35,131
1/28/2017,Saturday,0,na,78,48,74,50,250
1/29/2017,Sunday,0,na,63,28,52,47,190
1/30/2017,Monday,0,na,16,9,30,19,74
1/31/2017,Tuesday,0,na,28,24,31,11,94
02-01-2017,Wednesday,0,na,29,30,13,9,81
02-02-2017,Thursday,1,Groundhog Day,26,11,18,12,67
02-03-2017,Friday,0,na,23,36,34,28,121
02-04-2017,Saturday,0,na,86,47,58,38,229
02-05-2017,Sunday,0,na,45,9,48,55,157
02-06-2017,Monday,0,na,14,4,18,24,60
02-07-2017,Tuesday,0,na,21,6,23,15,65
02-08-2017,Wednesday,0,na,44,17,19,32,112
02-09-2017,Thursday,0,na,41,26,32,23,122
02-10-2017,Friday,0,na,55,33,34,24,146
02-11-2017,Saturday,0,na,82,36,49,52,219
02-12-2017,Sunday,0,na,26,24,42,92,184
2/13/2017,Monday,0,na,15,25,9,15,64
2/14/2017,Tuesday,1,Valentine's Day,39,34,58,117,248
2/15/2017,Wednesday,0,na,31,24,17,18,90
2/16/2017,Thursday,0,na,41,33,20,16,110
2/17/2017,Friday,0,na,40,49,26,25,140
2/18/2017,Saturday,0,na,103,34,61,50,248
2/19/2017,Sunday,0,na,21,14,47,80,162
2/20/2017,Monday,1,Presidents Day,51,27,39,17,134
2/21/2017,Tuesday,0,na,22,16,9,37,84
2/22/2017,Wednesday,0,na,38,16,25,29,108
2/23/2017,Thursday,0,na,44,34,23,17,118
2/24/2017,Friday,0,na,44,56,23,21,144
2/25/2017,Saturday,0,na,88,63,61,49,261
2/26/2017,Sunday,0,na,42,31,57,23,153
2/27/2017,Monday,0,na,31,18,7,22,78
2/28/2017,Tuesday,0,na,31,38,40,14,123
03-01-2017,Wednesday,0,na,19,14,20,8,61
03-02-2017,Thursday,0,na,40,10,27,3,80
03-03-2017,Friday,0,na,36,35,20,11,102
03-04-2017,Saturday,0,na,92,53,62,30,237
03-05-2017,Sunday,0,na,39,8,66,51,164
03-06-2017,Monday,0,na,10,6,24,23,63
03-07-2017,Tuesday,0,na,28,9,19,13,69
03-08-2017,Wednesday,0,na,27,19,35,21,102
03-09-2017,Thursday,0,na,63,22,13,13,111
03-10-2017,Friday,0,na,38,53,32,32,155
03-11-2017,Saturday,0,na,128,29,80,59,296
03-12-2017,Sunday,0,na,46,16,55,41,158
3/13/2017,Monday,0,na,43,24,18,13,98
3/14/2017,Tuesday,0,na,21,14,22,29,86
3/15/2017,Wednesday,0,na,12,18,21,11,62
3/16/2017,Thursday,0,na,30,8,24,9,71
3/17/2017,Friday,1,St. Patrick's Day,73,45,37,50,205
3/18/2017,Saturday,0,na,71,34,30,44,179
3/19/2017,Sunday,0,na,33,25,68,79,205
3/20/2017,Monday,0,na,34,22,19,50,125
3/21/2017,Tuesday,0,na,4,18,15,18,55
3/22/2017,Wednesday,0,na,33,39,14,23,109
3/23/2017,Thursday,0,na,29,23,19,13,84
3/24/2017,Friday,0,na,50,60,31,13,154
3/25/2017,Saturday,0,na,95,43,62,64,264
3/26/2017,Sunday,0,na,33,27,48,38,146
3/27/2017,Monday,0,na,26,31,34,7,98
3/28/2017,Tuesday,0,na,21,25,20,31,97
3/29/2017,Wednesday,0,na,39,40,22,39,140
3/30/2017,Thursday,0,na,36,22,13,29,100
3/31/2017,Friday,0,na,49,52,28,20,149
04-01-2017,Saturday,0,na,67,31,36,62,196
04-02-2017,Sunday,0,na,69,21,55,51,196
04-03-2017,Monday,0,na,24,2,29,14,69
04-04-2017,Tuesday,0,na,45,8,22,24,99
04-05-2017,Wednesday,0,na,44,15,20,19,98
04-06-2017,Thursday,0,na,22,11,19,22,74
04-07-2017,Friday,0,na,55,42,40,25,162
04-08-2017,Saturday,0,na,71,24,47,49,191
04-09-2017,Sunday,0,na,54,31,33,59,177
04-10-2017,Monday,0,na,21,9,17,26,73
04-11-2017,Tuesday,0,na,23,22,17,15,77
04-12-2017,Wednesday,0,na,44,2,15,28,89
4/13/2017,Thursday,0,na,19,12,12,27,70
4/14/2017,Friday,1,Good Friday,41,74,57,49,221
4/15/2017,Saturday,0,na,69,24,66,59,218
4/16/2017,Sunday,1,Easter,58,35,60,100,253
4/17/2017,Monday,1,Easter Monday,63,21,24,32,140
4/18/2017,Tuesday,0,na,30,30,13,18,91
4/19/2017,Wednesday,0,na,20,11,30,18,79
4/20/2017,Thursday,0,na,22,3,19,46,90
4/21/2017,Friday,0,na,38,53,36,38,165
4/22/2017,Saturday,0,na,97,20,50,59,226
4/23/2017,Sunday,0,na,,,,,
4/24/2017,Monday,0,na,,,,,
4/25/2017,Tuesday,0,na,,,,,
4/26/2017,Wednesday,0,na,,,,,
4/27/2017,Thursday,0,na,,,,,
4/28/2017,Friday,0,na,,,,,
4/29/2017,Saturday,0,na,,,,,
4/30/2017,Sunday,0,na,,,,,
05-01-2017,Monday,0,na,,,,,
05-02-2017,Tuesday,0,na,,,,,
05-03-2017,Wednesday,0,na,,,,,
05-04-2017,Thursday,0,na,,,,,
05-05-2017,Friday,1,Cinco de Mayo,,,,,
05-06-2017,Saturday,0,na,,,,,
05-07-2017,Sunday,0,na,,,,,
05-08-2017,Monday,0,na,,,,,
05-09-2017,Tuesday,0,na,,,,,
05-10-2017,Wednesday,0,na,,,,,
05-11-2017,Thursday,0,na,,,,,
05-12-2017,Friday,0,na,,,,,
5/13/2017,Saturday,0,na,,,,,
5/14/2017,Sunday,1,Mother's Day,,,,,
5/15/2017,Monday,0,na,,,,,
5/16/2017,Tuesday,0,na,,,,,
5/17/2017,Wednesday,0,na,,,,,
5/18/2017,Thursday,0,na,,,,,
5/19/2017,Friday,0,na,,,,,
5/20/2017,Saturday,0,na,,,,,
5/21/2017,Sunday,0,na,,,,,
5/22/2017,Monday,0,na,,,,,
5/23/2017,Tuesday,0,na,,,,,
5/24/2017,Wednesday,0,na,,,,,
5/25/2017,Thursday,0,na,,,,,
5/26/2017,Friday,0,na,,,,,
5/27/2017,Saturday,0,na,,,,,
5/28/2017,Sunday,0,na,,,,,
5/29/2017,Monday,1,Memorial Day,,,,,
5/30/2017,Tuesday,0,na,,,,,
5/31/2017,Wednesday,0,na,,,,,
